"PEP_ID","year","lat","long","growth","frz","fs","total","events","freq"
1,1955,54.77,9.43,1,0,0,4,0,0
1,1956,54.77,9.43,1,0,0,4,0,0
1,1960,54.77,9.43,1,0,0,4,0,0
1,1962,54.77,9.43,1,0,0,4,0,0
3,1989,54.33,10.15,1,0,0,2,0,0
3,2000,54.33,10.15,1,0,0,2,0,0
13,1977,54.62,9.98,1,0,0,1,0,0
15,2010,54.48,9.7,1,0,0,1,0,0
21,2012,54.43,9.82,1,0,0,1,0,0
46,1989,54.18,10.55,1,0,0,1,0,0
49,1973,53.9,10.65,1,0,0,1,0,0
52,1977,54.15,10.68,1,0,0,1,0,0
57,1955,54.7,9.55,1,0,0,2,0,0
57,1964,54.7,9.55,1,0,0,2,0,0
70,1983,54.73,9.5,1,0,0,2,0,0
70,1987,54.73,9.5,1,0,0,2,0,0
81,1970,54.77,9.17,1,0,0,2,0,0
81,1990,54.77,9.17,1,0,0,2,0,0
84,1972,54.73,9.73,1,0,0,2,0,0
84,1975,54.73,9.73,1,0,0,2,0,0
87,1957,54.78,9.23,1,0,0,1,0,0
96,1957,53.55,10.53,1,0,0,1,0,0
100,1959,53.78,10.63,1,0,0,1,0,0
108,1956,53.65,10.82,1,0,0,1,0,0
110,1953,53.5,10.48,1,0,0,2,0,0
110,2002,53.5,10.48,1,0,0,2,0,0
124,2007,54.67,9.13,1,0,0,3,0,0
124,2014,54.67,9.13,1,0,0,3,0,0
124,2015,54.67,9.13,1,0,0,3,0,0
130,1981,54.57,9.18,1,0,0,1,0,0
139,1966,54.25,9.08,1,0,0,2,0,0
139,1968,54.25,9.08,1,0,0,2,0,0
157,1982,54.18,10.75,1,0,0,1,0,0
173,1982,53.73,9.88,1,0,0,2,0,0
173,1984,53.73,9.88,1,0,0,2,0,0
184,1999,54.32,10.5,1,0,0,1,0,0
189,1971,54.4,10.22,1,0,0,1,0,0
190,1963,54.28,10.47,1,0,0,1,0,0
192,1956,54.17,10.42,1,0,0,2,0,0
192,1957,54.17,10.42,1,0,0,2,0,0
204,1955,54.35,9.85,1,0,0,1,0,0
215,1974,54.23,9.67,1,0,0,1,0,0
218,2003,54.3,9.67,1,0,0,1,0,0
230,1957,54.6,9.57,1,0,0,2,0,0
230,1983,54.6,9.57,1,0,0,2,0,0
231,1962,54.42,9.4,1,0,0,1,0,0
232,1983,54.62,9.83,1,0,0,2,0,0
232,1986,54.62,9.83,1,0,0,2,0,0
238,2013,54.55,9.4,1,0,0,1,0,0
239,1978,54.67,9.93,1,0,0,1,0,0
