Inference for Stan model: lm.
4 chains, each with iter=2000; warmup=1000; thin=1; 
post-warmup draws per chain=1000, total post-warmup draws=4000.

                           mean se_mean   sd      2.5%       25%       50%       75%     97.5% n_eff Rhat
(Intercept)               -0.07    0.00 0.00     -0.08     -0.07     -0.07     -0.07     -0.06  2737 1.00
nao.z                      0.00    0.00 0.00      0.00      0.00      0.00      0.01      0.01  4000 1.00
mat.z                     -0.06    0.00 0.00     -0.06     -0.06     -0.06     -0.06     -0.05  4000 1.00
elev.z                     0.01    0.00 0.00      0.00      0.01      0.01      0.01      0.01  4000 1.00
space.z                    0.07    0.00 0.00      0.07      0.07      0.07      0.07      0.07  4000 1.00
cc.z                       0.01    0.00 0.00      0.01      0.01      0.01      0.02      0.02  4000 1.00
speciesAESHIP              0.05    0.00 0.00      0.05      0.05      0.05      0.06      0.06  3438 1.00
speciesALNGLU              0.00    0.00 0.00     -0.01      0.00      0.00      0.00      0.00  4000 1.00
speciesBETPEN              0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.04  3289 1.00
speciesFRAEXC             -0.01    0.00 0.00     -0.01     -0.01     -0.01     -0.01      0.00  3094 1.00
speciesQUEROB              0.00    0.00 0.00      0.00      0.00      0.00      0.00      0.00  2857 1.00
nao.z:speciesAESHIP        0.03    0.00 0.00      0.03      0.03      0.03      0.03      0.04  4000 1.00
nao.z:speciesALNGLU        0.00    0.00 0.00      0.00      0.00      0.00      0.00      0.00  4000 1.00
nao.z:speciesBETPEN        0.04    0.00 0.00      0.03      0.04      0.04      0.04      0.04  4000 1.00
nao.z:speciesFRAEXC        0.00    0.00 0.00      0.00      0.00      0.00      0.01      0.01  4000 1.00
nao.z:speciesQUEROB        0.01    0.00 0.00      0.00      0.00      0.01      0.01      0.01  4000 1.00
mat.z:speciesAESHIP       -0.08    0.00 0.00     -0.08     -0.08     -0.08     -0.08     -0.08  4000 1.00
mat.z:speciesALNGLU        0.03    0.00 0.00      0.03      0.03      0.03      0.04      0.04  4000 1.00
mat.z:speciesBETPEN       -0.11    0.00 0.00     -0.11     -0.11     -0.11     -0.11     -0.10  4000 1.00
mat.z:speciesFRAEXC        0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.05  4000 1.00
mat.z:speciesQUEROB        0.00    0.00 0.00     -0.01      0.00      0.00      0.00      0.00  4000 1.00
elev.z:speciesAESHIP       0.09    0.00 0.00      0.09      0.09      0.09      0.09      0.09  4000 1.00
elev.z:speciesALNGLU       0.00    0.00 0.00     -0.01      0.00      0.00      0.00      0.00  4000 1.00
elev.z:speciesBETPEN       0.05    0.00 0.00      0.04      0.04      0.05      0.05      0.05  4000 1.00
elev.z:speciesFRAEXC      -0.01    0.00 0.00     -0.01     -0.01     -0.01      0.00      0.00  4000 1.00
elev.z:speciesQUEROB       0.00    0.00 0.00     -0.01     -0.01      0.00      0.00      0.00  4000 1.00
space.z:speciesAESHIP      0.11    0.00 0.00      0.11      0.11      0.11      0.11      0.12  4000 1.00
space.z:speciesALNGLU     -0.06    0.00 0.00     -0.07     -0.06     -0.06     -0.06     -0.06  3634 1.00
space.z:speciesBETPEN      0.10    0.00 0.00      0.10      0.10      0.10      0.11      0.11  4000 1.00
space.z:speciesFRAEXC     -0.07    0.00 0.00     -0.07     -0.07     -0.07     -0.07     -0.06  4000 1.00
space.z:speciesQUEROB     -0.03    0.00 0.00     -0.03     -0.03     -0.03     -0.03     -0.02  4000 1.00
cc.z:speciesAESHIP        -0.04    0.00 0.00     -0.04     -0.04     -0.04     -0.04     -0.04  4000 1.00
cc.z:speciesALNGLU        -0.02    0.00 0.00     -0.02     -0.02     -0.02     -0.01     -0.01  4000 1.00
cc.z:speciesBETPEN        -0.02    0.00 0.00     -0.02     -0.02     -0.02     -0.01     -0.01  4000 1.00
cc.z:speciesFRAEXC        -0.02    0.00 0.00     -0.02     -0.02     -0.02     -0.01     -0.01  4000 1.00
cc.z:speciesQUEROB         0.00    0.00 0.00     -0.01     -0.01      0.00      0.00      0.00  4000 1.00
nao.z:cc                  -0.01    0.00 0.00     -0.02     -0.01     -0.01     -0.01     -0.01  4000 1.00
mat.z:cc                   0.03    0.00 0.00      0.02      0.03      0.03      0.03      0.03  4000 1.00
elev.z:cc.z               -0.04    0.00 0.00     -0.05     -0.04     -0.04     -0.04     -0.04  4000 1.00
space.z:cc.z              -0.08    0.00 0.00     -0.08     -0.08     -0.08     -0.08     -0.07  4000 1.00
sigma                      0.25    0.00 0.00      0.25      0.25      0.25      0.25      0.25  4000 1.00
log-fit_ratio              0.00    0.00 0.00      0.00      0.00      0.00      0.00      0.00  4000 1.00
R2                         0.17    0.00 0.00      0.17      0.17      0.17      0.17      0.17  4000 1.00
mean_PPD                   0.03    0.00 0.00      0.03      0.03      0.03      0.03      0.03  4000 1.00
log-posterior         -11134.69    0.42 6.48 -11148.45 -11138.86 -11134.20 -11130.00 -11123.19   236 1.01

Samples were drawn using NUTS(diag_e) at Tue Sep 25 17:28:07 2018.
For each parameter, n_eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor on split chains (at 
convergence, Rhat=1).
