PEP_ID;National_ID;LON;LAT;ALT;NAME
8309;8087;-6.333;49.883;-1;      8087
8310;11091;-6.3;49.917;-1;     11091
8311;12170;-5.2;49.967;-1;     12170
8312;19010;-7.417;49.95;-1;     19010
8313;19169;-5.2;50.033;-1;     19169
8314;20176;-5.117;50.05;-1;     20176
8315;22174;-5.133;50.05;-1;     22174
8316;23171;-5.183;50.067;-1;     23171
8317;24008;-7.467;49.983;-1;     24008
8318;24140;-5.617;50.067;-1;     24140
8319;25178;-5.083;50.083;-1;     25178
8320;26176;-5.117;50.1;-1;     26176
8321;27166;-5.267;50.1;-1;     27166
8322;28146;-5.533;50.1;-1;     28146
8323;28158;-5.367;50.1;-1;     28158
8324;28159;-5.35;50.1;-1;     28159
8325;28161;-5.333;50.117;-1;     28161
8327;29141;-5.6;50.1;-1;     29141
8328;29146;-5.533;50.117;-1;     29146
8329;29155;-5.417;50.117;-1;     29155
8330;29172;-5.167;50.117;-1;     29172
8331;29175;-5.133;50.133;-1;     29175
8333;31155;-5.417;50.133;-1;     31155
8334;31178;-5.1;50.15;-1;     31178
8335;31180;-5.067;50.15;-1;     31180
8336;31264;-3.883;50.167;-1;     31264
8337;32150;-5.483;50.15;-1;     32150
8338;32179;-5.083;50.15;-1;     32179
8339;32180;-5.067;50.15;-1;     32180
8340;33145;-5.55;50.15;-1;     33145
8341;33158;-5.367;50.15;-1;     33158
8342;33179;-5.067;50.15;-1;     33179
8343;34138;-5.667;50.15;-1;     34138
8344;34144;-5.567;50.15;-1;     34144
8345;34178;-5.1;50.167;-1;     34178
8346;35149;-5.5;50.167;-1;     35149
8347;36146;-5.55;50.167;-1;     36146
8348;36165;-5.283;50.183;-1;     36165
8349;37144;-5.583;50.183;-1;     37144
8350;37152;-5.45;50.183;-1;     37152
8351;37156;-5.4;50.183;-1;     37156
8352;37170;-5.2;50.2;-1;     37170
8354;37496;-0.633;50.233;-1;     37496
8355;38273;-3.767;50.233;-1;     38273
8356;39149;-5.5;50.2;-1;     39149
8357;39151;-5.467;50.2;-1;     39151
8358;39158;-5.383;50.2;-1;     39158
8359;39163;-5.3;50.2;-1;     39163
8360;39271;-3.8;50.25;-1;     39271
8361;39273;-3.767;50.233;-1;     39273
8362;40164;-5.3;50.217;-1;     40164
8364;41168;-5.25;50.233;-1;     41168
8365;41181;-5.067;50.233;-1;     41181
8366;41199;-4.8;50.233;-1;     41199
8367;41270;-3.817;50.25;-1;     41270
8368;41278;-3.7;50.267;-1;     41278
8369;42170;-5.217;50.233;-1;     42170
8370;42267;-3.85;50.267;-1;     42267
8371;43171;-5.2;50.25;-1;     43171
8372;43182;-5.05;50.25;-1;     43182
8373;44175;-5.15;50.25;-1;     44175
8374;44273;-3.767;50.283;-1;     44273
8375;45181;-5.067;50.267;-1;     45181
8376;45182;-5.033;50.267;-1;     45182
8377;45196;-4.85;50.283;-1;     45196
8378;45199;-4.8;50.267;-1;     45199
8379;45201;-4.783;50.267;-1;     45201
8380;45282;-3.65;50.3;-1;     45282
8381;47169;-5.233;50.283;-1;     47169
8382;48169;-5.233;50.283;-1;     48169
8383;48200;-4.8;50.3;-1;     48200
8384;48254;-4.033;50.317;-1;     48254
8385;48268;-3.85;50.317;-1;     48268
8386;48271;-3.8;50.317;-1;     48271
8387;48286;-3.583;50.317;-1;     48286
8388;49172;-5.183;50.3;-1;     49172
8390;49242;-4.2;50.317;-1;     49242
8391;49252;-4.067;50.317;-1;     49252
8392;50172;-5.183;50.317;-1;     50172
8393;50173;-5.167;50.317;-1;     50173
8394;50177;-5.117;50.317;-1;     50177
8395;50180;-5.067;50.317;-1;     50180
8396;50200;-4.8;50.317;-1;     50200
8397;50221;-4.5;50.333;-1;     50221
8398;50242;-4.2;50.333;-1;     50242
8399;50243;-4.2;50.333;-1;     50243
8400;50285;-3.6;50.35;-1;     50285
8401;51201;-4.783;50.333;-1;     51201
8402;51258;-3.983;50.35;-1;     51258
8403;51266;-3.883;50.35;-1;     51266
8404;51278;-3.7;50.35;-1;     51278
8405;51286;-3.583;50.35;-1;     51286
8406;51287;-3.583;50.35;-1;     51287
8407;52203;-4.75;50.333;-1;     52203
8408;52204;-4.733;50.333;-1;     52204
8409;52242;-4.2;50.35;-1;     52242
8410;52251;-4.083;50.35;-1;     52251
8411;52259;-3.967;50.367;-1;     52259
8412;52265;-3.883;50.35;-1;     52265
8413;52278;-3.7;50.367;-1;     52278
8414;53194;-4.883;50.35;-1;     53194
8415;53203;-4.75;50.35;-1;     53203
8416;53232;-4.35;50.367;-1;     53232
8418;54178;-5.117;50.35;-1;     54178
8419;54206;-4.7;50.35;-1;     54206
8420;54214;-4.6;50.367;-1;     54214
8421;54236;-4.3;50.367;-1;     54236
8422;54245;-4.167;50.367;-1;     54245
8423;54247;-4.133;50.367;-1;     54247
8424;54248;-4.117;50.367;-1;     54248
8425;55242;-4.217;50.383;-1;     55242
8426;55246;-4.15;50.383;-1;     55246
